26 1001
Gros Valerie
CNRS LSCE, Orme des Merisiers, Bat 701, 91 191 Gif sur Yvette, France, valerie.gros@lsce.ipsl.fr
"Ozone instrument; carbon monoxide instrument; Nitrogen oxides instrument; LHVP station"
MEGAPOLI winter campaign
1 1
2010 01 01 2010 10 27
5 min
Time (hours since 2010-01-01 00:00:00 +1:00 )
4
1. 1. 1. 1.
9999 9999 9999 9999
ozone O3  (ppbv)
CO (ppbv)
NO (ppbv)
NOx (ppbv)
9
Ozone was measured with a Thermo-Environnment 49C instrument
Carbon monoxide was measured with a Thermo-Environment 48i-TL instrument
Nitrogen monoxide and nitrogen oxides were measured with a Environment SA AC31M  instrument from LHVP
Please contact me for more details on the instruments
 -------------------------------------------------------------------------------------------
These data were generated or collected within the framework of  FP7/ MEGAPOLI and of the national ANR MEGAPOLI-PARIS 
The user agrees with the MEGAPOLI DATA EXCHANGE PROTOCOL
 -------------------------------------------------------------------------------------------
Time (UTC)	O3 (ppb)	CO (ppb)	NO (ppb)	NOx (ppb)
21,205	3,4	280,4	3,9	21,6
21,208	2,4	283,8	5,0	24,2
21,212	2,1	285,1	6,4	26,1
21,215	2,7	275,6	6,4	26,9
21,219	2,0	279,9	6,5	27,5
21,222	2,2	279,5	7,4	29,2
21,226	1,6	280,3	7,7	29,9
21,229	1,8	281,6	8,6	31,0
21,233	1,5	283,6	9,6	31,7
21,236	2,7	280,1	9,8	32,2
21,240	2,0	271,9	9,3	32,0
21,243	1,8	283,2	10,3	32,9
21,247	1,5	279,1	11,2	35,2
21,250	1,4	288,7	12,8	36,8
21,253	1,9	286,5	14,0	38,2
21,257	2,5	285,4	14,3	38,2
21,260	2,2	280,6	14,1	37,7
21,264	3,6	273,8	11,7	35,7
21,267	3,1	268,0	9,8	32,7
21,271	1,6	294,5	15,0	40,6
21,274	1,3	315,6	18,2	44,9
21,278	2,5	315,7	18,7	44,5
21,281	2,1	316,8	15,3	41,2
21,285	1,5	341,6	23,5	51,5
21,288	2,0	333,8	21,6	49,1
21,292	2,4	327,2	19,3	47,2
21,295	2,2	9999	18,0	45,1
21,299	6,5	9999	9,9	31,9
21,302	5,5	9999	6,9	28,1
21,306	4,6	9999	7,1	29,1
21,309	3,4	310,4	7,2	30,6
21,313	6,7	295,1	8,1	31,4
21,316	4,9	295,3	8,0	30,8
21,319	5,6	322,1	8,4	32,6
21,323	8,2	284,0	6,9	29,7
21,326	5,9	292,8	6,3	29,0
21,330	3,9	324,0	9,8	36,2
21,333	4,0	338,9	14,9	43,5
21,337	3,0	366,6	23,8	52,6
21,340	3,3	332,2	16,1	45,1
21,344	2,9	334,8	12,7	41,0
21,347	3,0	338,8	14,6	42,5
21,351	3,1	338,1	19,2	48,9
21,354	2,8	338,3	18,0	46,9
21,358	3,4	370,9	21,7	50,7
21,361	4,5	301,4	11,7	34,5
21,365	2,7	318,5	15,1	42,1
21,368	2,3	335,1	20,9	50,0
21,372	2,0	412,5	30,0	61,9
21,375	1,9	434,8	33,8	66,4
21,378	2,0	428,1	34,2	66,3
21,382	2,3	404,9	29,0	61,1
21,385	3,8	378,9	23,9	53,2
21,389	3,6	325,6	13,2	40,0
21,392	3,3	346,3	15,5	43,7
21,396	3,3	351,0	17,2	46,0
21,399	3,1	357,8	17,4	47,0
21,403	3,7	344,7	18,6	48,4
21,406	4,4	308,6	14,4	43,4
21,410	3,4	340,8	16,3	45,6
21,413	3,9	341,8	16,8	46,6
21,417	3,9	327,6	18,0	47,3
21,420	3,1	349,4	19,4	49,6
21,424	3,2	359,2	20,1	51,5
21,427	3,1	363,7	21,3	52,1
21,431	5,7	320,5	14,2	41,1
21,434	4,4	316,8	11,8	38,1
21,438	4,4	317,8	12,6	39,8
21,441	4,6	317,4	12,7	40,9
21,444	6,7	298,4	12,6	39,8
21,448	5,2	305,3	11,6	38,3
21,451	6,0	326,2	11,6	38,6
21,455	8,1	300,0	11,0	36,4
21,458	6,1	303,9	9,0	34,9
21,462	5,9	314,4	10,1	36,1
21,465	6,1	9999	11,1	35,9
21,469	5,8	9999	9,6	36,8
21,472	5,9	9999	10,4	37,9
21,476	6,8	275,4	13,0	38,8
21,479	5,4	290,0	11,9	36,8
21,483	4,6	299,2	12,4	39,6
21,486	4,0	315,0	15,1	43,7
21,490	6,6	293,8	13,2	41,0
21,493	5,5	291,8	11,5	39,4
21,497	5,6	285,7	11,7	38,6
21,500	4,4	322,5	12,1	40,6
21,503	4,4	329,9	15,7	45,1
21,507	5,5	346,7	15,5	44,1
21,510	5,2	311,3	13,3	41,7
21,514	4,6	331,7	14,4	44,4
21,517	5,0	317,4	15,1	44,7
21,521	5,4	309,0	15,3	45,2
21,524	5,4	297,4	17,5	45,2
21,528	7,7	298,3	16,9	45,5
21,531	8,7	272,3	15,0	42,2
21,535	9,3	283,2	14,0	40,7
21,538	8,5	292,9	14,9	42,2
21,542	8,7	283,2	15,2	42,0
21,545	8,4	284,2	15,6	42,2
21,549	8,5	297,5	16,3	43,4
21,552	8,2	319,9	16,5	43,6
21,556	7,8	305,9	16,3	44,6
21,559	8,1	304,7	17,4	45,3
21,563	9,4	314,8	16,9	45,4
21,566	10,0	291,4	15,3	42,2
21,569	11,4	292,9	14,2	40,6
21,573	10,4	300,4	12,9	38,2
21,576	9,6	321,9	15,0	41,8
21,580	9,4	332,2	18,4	48,9
21,583	10,3	292,4	13,7	40,2
21,587	10,9	285,9	12,2	38,7
21,590	12,2	281,8	8,6	33,1
21,594	13,3	280,3	8,6	32,5
21,597	11,2	276,6	9,0	33,5
21,601	13,0	268,8	9,5	33,5
21,604	11,9	276,5	9,8	34,2
21,608	13,0	272,6	10,8	35,0
21,611	13,9	271,3	10,1	34,4
21,615	13,7	283,0	9,3	33,4
21,618	13,6	287,3	9,2	32,2
21,622	14,0	274,2	6,8	28,2
21,625	12,6	288,6	8,8	33,2
21,628	11,8	9999	9,3	34,6
21,632	11,5	9999	8,5	34,5
21,635	11,7	9999	9,1	34,9
21,639	12,6	9999	7,9	33,7
21,642	11,3	255,9	7,0	33,5
21,646	10,7	251,9	7,6	34,6
21,649	9,6	243,9	7,8	35,0
21,653	8,4	262,7	7,4	36,1
21,656	8,2	278,7	9,6	39,6
21,660	7,1	281,4	10,5	41,5
21,663	6,1	307,6	12,0	46,0
21,667	8,0	280,7	8,9	40,8
21,670	7,3	279,3	8,2	39,5
21,674	5,3	318,9	10,7	45,1
21,677	5,1	319,1	12,9	49,5
21,681	3,2	334,6	17,0	57,2
21,684	3,8	362,7	14,4	52,2
21,688	2,6	332,0	14,3	53,6
21,691	2,6	350,0	15,8	55,2
21,694	2,4	316,6	14,6	54,9
21,698	1,7	344,5	19,8	61,9
21,701	1,8	407,2	29,9	75,7
21,705	1,8	409,8	32,9	79,0
21,708	1,7	355,9	26,2	71,6
21,712	2,0	367,2	25,0	70,6
21,715	2,2	384,8	26,9	73,1
21,719	2,0	387,7	27,2	72,3
21,722	1,8	418,3	35,5	83,2
21,726	2,2	475,6	43,8	92,0
21,729	2,4	462,7	44,8	90,6
21,733	2,1	437,1	35,9	80,0
21,736	2,0	386,6	24,5	67,0
21,740	2,3	406,8	26,6	68,9
21,743	2,5	433,0	30,4	72,8
21,747	2,6	439,7	32,1	75,2
21,750	2,9	468,0	37,6	81,5
21,753	2,9	508,2	46,0	90,5
21,757	3,0	554,3	55,8	102,3
21,760	3,2	578,1	62,9	110,5
21,764	2,9	574,8	59,0	107,4
21,767	2,4	533,4	54,6	103,1
21,771	2,3	509,6	55,1	102,9
21,774	2,1	538,9	56,6	107,0
21,778	2,0	510,1	52,7	102,8
21,781	2,0	447,5	35,2	81,9
21,785	1,9	404,3	26,5	71,7
21,788	2,0	420,9	27,2	71,7
21,792	1,8	421,1	28,1	73,7
21,795	1,8	9999	29,9	75,3
21,799	1,9	9999	30,9	76,6
21,802	2,0	9999	32,9	79,0
21,806	2,0	9999	34,4	80,6
21,809	1,9	399,6	34,1	78,5
21,813	2,0	394,5	31,2	75,0
21,816	1,9	420,1	30,1	74,0
21,819	1,7	383,4	28,5	71,6
21,823	1,9	389,2	26,7	69,2
21,826	1,8	376,3	23,9	65,9
21,830	2,6	350,0	19,8	60,1
21,833	3,5	342,9	14,2	52,2
21,837	4,3	329,9	10,1	45,5
21,840	4,6	300,4	8,6	43,2
21,844	3,8	321,5	8,6	43,1
21,847	3,7	324,0	9,5	44,6
21,851	4,8	301,8	9,6	43,9
21,854	5,8	314,8	7,9	42,5
21,858	7,7	333,2	7,9	40,0
21,861	7,6	292,0	6,0	33,3
21,865	6,2	295,7	4,3	33,3
21,868	5,4	300,6	6,0	35,5
21,872	5,5	309,8	6,4	36,9
21,875	6,4	317,6	6,4	36,2
21,878	7,1	297,3	6,4	35,1
21,882	7,9	297,5	5,3	33,3
21,885	9,0	290,0	4,5	32,1
21,889	11,2	271,1	3,7	29,1
21,892	11,3	274,6	3,1	26,9
21,896	10,5	287,3	3,1	27,1
21,899	10,9	279,3	3,2	26,4
21,903	11,2	286,1	3,4	27,0
21,906	11,1	268,6	3,2	27,0
21,910	9,0	284,4	3,0	27,8
21,913	9,2	282,2	2,7	29,4
21,917	8,0	282,0	3,1	29,4
21,920	9,9	284,6	2,8	30,4
21,924	12,5	265,0	2,5	29,3
21,927	11,2	267,2	2,2	28,1
21,931	9,1	289,4	2,9	29,8
21,934	7,1	309,8	3,0	32,1
21,938	8,0	314,9	3,4	34,2
21,941	10,2	301,4	3,7	33,2
21,944	11,0	293,9	3,5	31,3
21,948	12,7	283,6	3,7	29,6
21,951	14,2	272,8	2,6	26,4
21,955	12,6	275,6	2,4	23,9
21,958	11,8	277,3	2,3	23,6
21,962	11,8	9999	3,0	24,2
21,965	10,3	9999	2,5	24,9
21,969	12,0	9999	2,7	26,1
21,972	11,8	9999	3,0	24,5
21,976	12,0	253,1	2,6	24,9
21,979	13,8	224,6	2,8	23,4
21,983	12,1	224,2	2,2	22,9
21,986	11,7	238,3	2,1	23,4
21,990	13,6	240,6	2,2	22,9
21,993	14,0	235,2	2,2	22,5
21,997	14,2	229,1	2,2	21,5
22,000	13,2	233,0	1,4	20,8
22,003	10,8	253,3	2,4	22,4
22,007	10,5	249,4	1,7	23,9
22,010	12,5	236,9	1,7	23,1
22,014	12,1	236,5	1,9	21,6
22,017	13,0	233,6	1,9	21,5
22,021	14,3	235,5	2,4	19,5
22,024	15,2	223,1	1,9	18,3
22,028	13,8	226,6	1,6	17,4
22,031	13,8	228,7	1,7	18,6
22,035	14,0	216,6	1,8	19,1
22,038	14,7	226,0	2,3	18,4
22,042	14,8	220,7	1,8	18,5
22,045	16,1	219,1	2,0	18,1
22,049	15,7	220,7	1,7	16,9
22,052	17,3	217,8	2,1	16,7
22,056	18,6	213,9	1,6	14,6
22,059	16,8	219,3	1,4	14,2
22,063	16,5	217,6	1,2	14,4
22,066	17,0	216,6	1,4	14,7
22,069	17,9	223,6	1,8	14,2
22,073	15,9	214,5	1,8	13,8
22,076	13,4	231,4	1,2	14,6
22,080	12,5	238,5	1,6	16,4
22,083	11,4	230,5	1,2	18,2
22,087	10,7	241,2	1,9	19,7
22,090	14,0	225,8	1,1	20,3
22,094	14,3	222,7	1,7	19,1
22,097	16,7	223,5	1,7	18,1
22,101	14,9	221,1	1,5	17,0
22,104	12,7	232,8	1,6	18,3
22,108	13,6	239,4	1,9	19,1
22,111	16,0	236,7	1,1	19,5
22,115	17,5	226,6	1,3	19,0
22,118	17,5	229,1	1,2	18,2
22,122	18,1	222,1	1,8	18,1
22,125	19,7	219,9	1,6	16,9
22,128	23,6	9999	1,7	16,4
22,132	22,9	9999	1,1	14,1
22,135	19,3	9999	0,5	14,4
22,139	17,2	9999	1,0	15,7
22,142	17,8	195,1	1,8	16,3
22,146	20,0	191,6	1,3	16,0
22,149	19,2	197,5	1,2	16,4
22,153	18,7	193,6	1,7	17,0
22,156	16,4	198,0	1,2	17,0
22,160	17,1	199,6	1,6	18,5
22,163	19,0	189,7	0,8	18,2
22,167	17,6	190,3	0,8	17,9
22,170	16,7	191,1	1,1	18,2
22,174	18,2	186,1	1,8	18,5
22,177	18,6	192,6	1,3	18,2
22,181	19,8	182,6	1,1	17,3
22,184	17,2	184,0	1,1	18,1
22,188	14,4	199,0	1,4	20,6
22,191	12,0	202,9	1,1	22,4
22,194	11,9	217,4	1,8	24,3
22,198	11,7	216,4	2,2	25,7
22,201	10,1	222,9	2,2	25,9
22,205	8,7	227,6	2,2	27,0
22,208	7,5	239,1	2,8	29,2
22,212	6,9	235,6	3,1	30,7
22,215	6,3	226,6	3,7	30,8
22,219	4,4	233,8	5,5	32,6
22,222	2,6	244,1	6,1	36,5
22,226	2,2	248,2	7,8	38,1
22,229	2,1	254,1	13,2	45,2
22,233	3,1	253,9	12,6	44,0
22,236	2,7	259,0	12,3	43,3
22,240	3,2	259,7	12,9	43,8
22,243	4,6	253,5	11,8	42,4
22,247	4,5	240,8	10,6	38,8
22,250	4,0	245,9	10,0	39,5
22,253	5,1	243,2	9,3	39,6
22,257	4,7	242,6	8,7	38,2
22,260	4,1	255,9	8,7	38,8
22,264	3,8	257,0	9,5	39,6
22,267	5,3	253,3	9,9	39,5
22,271	5,4	250,0	9,6	39,1
22,274	5,0	254,9	8,8	37,7
22,278	3,8	261,5	9,0	38,3
22,281	2,6	274,8	11,2	42,1
22,285	2,5	280,5	14,1	48,1
22,288	2,6	280,7	14,3	48,4
22,292	2,3	290,1	13,6	47,1
22,295	1,9	9999	17,5	51,8
22,299	2,2	9999	18,1	53,6
22,302	1,9	9999	23,4	60,8
22,306	2,6	9999	20,8	57,2
22,309	3,3	285,5	13,9	48,1
22,313	2,8	294,3	13,4	47,4
22,316	2,7	305,5	14,9	50,0
22,319	2,7	301,4	15,8	50,2
22,323	2,1	316,0	18,3	53,5
22,326	1,9	362,9	25,5	61,7
22,330	2,4	329,5	26,9	62,8
22,333	2,5	331,5	25,9	61,9
22,337	2,7	359,4	28,5	65,6
22,340	2,9	352,3	28,5	65,3
22,344	3,3	327,3	26,5	62,8
22,347	3,2	334,8	26,7	62,4
22,351	3,5	349,8	28,7	64,5
22,354	3,2	370,1	32,5	68,8
22,358	3,3	360,4	34,1	70,3
22,361	3,6	352,2	34,5	70,7
22,365	3,4	362,1	35,7	71,1
22,368	3,8	354,1	35,7	71,2
22,372	4,3	350,8	33,5	69,3
22,375	4,5	352,6	32,6	66,7
22,378	4,2	345,9	32,0	66,0
22,382	5,8	323,3	25,5	58,9
22,385	5,6	319,7	23,2	55,2
22,389	5,7	324,2	23,4	56,0
22,392	4,7	335,6	28,5	62,4
22,396	4,8	343,4	31,2	65,8
22,399	4,4	341,6	30,8	66,3
22,403	4,0	356,2	32,1	67,8
22,406	4,3	356,6	33,6	68,9
22,410	4,7	356,5	31,9	67,5
22,413	6,2	332,4	25,8	58,8
22,417	7,8	317,4	20,1	50,7
22,420	8,6	310,0	19,2	49,5
22,424	10,2	298,0	19,0	48,1
22,427	10,7	299,2	18,8	46,7
22,431	11,7	308,4	17,5	45,3
22,434	11,9	305,3	18,3	45,6
22,438	13,1	290,8	18,5	44,5
22,441	12,7	293,5	17,6	42,9
22,444	12,2	299,8	16,2	42,1
22,448	12,6	296,5	14,5	41,2
22,451	13,5	295,7	13,7	39,9
22,455	11,3	305,7	13,5	40,8
22,458	13,4	294,9	13,6	42,0
22,462	13,5	291,0	13,5	40,8
22,465	14,6	9999	13,7	40,1
22,469	16,0	9999	11,8	38,0
22,472	15,5	9999	12,7	38,6
22,476	17,7	265,6	13,7	38,8
22,479	18,4	244,8	12,4	36,3
22,483	18,2	251,0	12,0	36,1
22,486	18,7	243,2	12,1	35,7
22,490	17,6	249,2	11,6	35,7
22,493	14,8	277,9	12,9	39,0
22,497	15,4	293,9	15,7	43,7
22,500	16,2	268,8	15,0	43,1
22,503	15,2	268,9	15,1	43,5
22,507	15,0	270,9	15,6	44,6
22,510	18,7	273,1	14,7	42,5
22,514	22,4	232,8	12,0	35,4
22,517	23,5	221,3	9,8	30,0
22,521	22,8	223,6	9,1	29,0
22,524	23,2	224,6	8,4	27,9
22,528	23,5	231,6	9,2	27,9
22,531	22,5	227,5	7,4	26,8
22,535	20,8	235,4	7,1	26,9
22,538	19,5	263,5	9,2	31,0
22,542	23,4	232,8	8,7	29,9
22,545	25,1	226,6	7,9	27,5
22,549	23,1	228,1	6,7	26,8
22,552	22,6	240,0	7,5	28,3
22,556	22,1	247,8	7,8	30,4
22,559	21,5	247,7	8,6	31,0
22,563	22,5	233,4	8,7	30,7
22,566	21,2	267,6	9,0	31,4
22,569	22,5	254,5	8,1	31,9
22,573	22,5	249,6	7,8	31,9
22,576	24,7	234,0	7,0	29,3
22,580	23,6	227,9	6,6	28,1
22,583	23,5	227,4	6,0	27,3
22,587	21,4	243,8	6,5	27,7
22,590	21,4	244,5	6,4	29,3
22,594	20,8	257,4	6,9	30,6
22,597	17,6	266,0	6,9	33,0
22,601	16,7	284,0	10,1	39,6
22,604	19,5	267,8	9,2	37,9
22,608	21,8	247,6	7,1	31,7
22,611	19,3	256,8	6,7	32,0
22,615	20,4	255,5	6,5	32,2
22,618	18,9	261,3	6,5	32,9
22,622	18,1	278,3	7,3	34,8
22,625	21,7	259,0	6,9	33,8
22,628	19,4	227,5	6,2	32,4
22,632	19,1	9999	5,4	31,9
22,635	19,3	9999	5,4	31,9
22,639	20,6	9999	5,8	31,5
22,642	19,9	242,9	4,7	30,8
22,646	19,0	241,0	5,6	31,6
22,649	19,0	249,3	4,5	31,3
22,653	16,7	254,3	4,7	33,0
22,656	17,5	249,0	5,2	34,6
22,660	16,4	251,9	4,6	33,7
22,663	15,0	242,4	4,4	34,4
22,667	10,6	272,2	4,9	36,9
22,670	9,6	281,8	6,6	40,6
22,674	9,8	287,3	6,6	42,8
22,677	14,5	271,1	5,7	39,4
22,681	16,5	248,5	3,9	33,5
22,684	17,2	233,4	3,2	31,3
22,688	14,1	245,1	3,2	31,9
22,691	13,0	267,0	3,4	33,8
22,694	15,2	260,5	3,5	34,3
22,698	14,5	260,3	3,3	33,6
22,701	13,4	275,8	3,6	34,6
22,705	13,7	266,0	2,9	34,2
22,708	12,8	274,4	3,4	35,4
22,712	13,8	272,7	3,1	35,5
22,715	12,4	281,6	3,6	35,9
22,719	12,6	308,8	3,0	36,6
22,722	13,9	285,1	3,5	36,0
22,726	11,5	303,7	3,6	36,3
22,729	11,7	299,6	3,4	37,4
22,733	12,0	306,0	3,6	38,1
22,736	14,1	295,7	3,6	38,1
22,740	14,6	290,8	3,1	36,7
22,743	14,7	294,9	3,1	35,2
22,747	13,1	314,5	3,4	35,8
22,750	13,9	312,9	3,2	36,0
22,753	14,0	319,0	3,5	36,2
22,757	14,0	306,9	3,3	36,2
22,760	13,4	311,9	3,7	35,9
22,764	12,0	331,8	3,6	36,6
22,767	13,9	319,1	3,4	36,8
22,771	13,2	319,7	3,3	36,0
22,774	11,9	326,6	2,9	36,0
22,778	12,3	319,9	3,3	36,5
22,781	10,2	332,1	3,7	37,8
22,785	9,9	323,1	4,2	38,7
22,788	9,8	335,3	3,7	39,7
22,792	10,9	320,9	4,0	39,9
22,795	12,7	9999	3,8	38,0
22,799	12,4	9999	3,5	36,5
22,802	15,7	9999	2,5	34,6
22,806	15,3	9999	2,6	33,5
22,809	15,4	255,8	2,5	31,7
22,813	15,1	262,7	3,1	31,7
22,816	16,3	251,0	2,6	30,8
22,819	16,8	263,5	1,7	29,4
22,823	16,6	272,0	2,1	27,7
22,826	16,3	288,7	2,4	28,7
22,830	16,0	282,2	2,5	28,8
22,833	15,8	289,7	2,5	28,7
22,837	15,9	281,8	2,4	29,3
22,840	14,8	300,4	2,3	29,3
22,844	16,5	280,9	2,6	29,6
22,847	18,2	258,8	2,3	27,2
22,851	17,2	269,5	1,6	27,2
22,854	19,7	255,5	2,0	26,2
22,858	20,5	252,0	1,9	24,0
22,861	22,8	242,4	1,4	21,8
22,865	19,3	258,6	1,7	21,9
22,868	21,7	251,7	1,4	21,6
22,872	23,4	240,8	2,1	20,8
22,875	25,0	234,0	1,1	18,3
22,878	25,0	239,2	1,5	17,5
22,882	26,6	232,6	1,2	15,8
22,885	25,4	233,0	1,3	15,2
22,889	25,7	240,8	1,0	15,6
22,892	24,5	245,7	1,1	15,8
22,896	23,8	251,4	1,2	16,0
22,899	24,7	253,5	0,8	16,1
22,903	23,6	252,4	1,3	16,1
22,906	22,4	255,9	1,4	17,1
22,910	22,9	249,0	0,6	18,0
22,913	23,6	251,9	1,4	18,1
22,917	23,8	246,3	1,4	17,4
22,920	25,5	245,1	1,3	16,7
22,924	25,4	242,2	0,8	15,5
22,927	26,5	236,3	1,2	14,7
22,931	24,8	239,5	1,3	14,0
22,934	23,5	241,4	1,3	15,0
22,938	22,8	243,0	0,9	15,3
22,941	22,7	244,5	1,5	16,2
22,944	22,3	253,3	1,1	16,5
22,948	22,7	254,9	1,2	16,7
22,951	23,1	248,6	2,0	16,5
22,955	23,3	248,4	1,1	15,9
22,958	23,2	243,4	0,8	15,9
22,962	22,8	9999	1,1	16,1
22,965	23,5	9999	1,2	15,5
22,969	24,4	9999	1,5	15,1
22,972	24,9	9999	1,3	14,4
22,976	24,9	206,3	0,9	13,8
22,979	23,8	209,6	1,1	14,1
22,983	24,3	209,6	1,0	13,9
22,986	24,2	213,5	0,9	13,8
22,990	23,3	213,1	0,4	14,2
22,993	23,4	212,9	0,9	14,3
22,997	22,0	218,4	1,4	15,1
23,000	21,4	228,5	1,1	15,4
23,003	21,9	221,7	0,3	15,8
23,007	22,2	220,2	1,3	15,8
23,010	21,8	227,9	1,1	15,7
23,014	21,0	229,7	0,9	16,4
23,017	20,2	239,3	1,2	16,1
23,021	20,9	232,1	1,1	16,2
23,024	19,9	230,8	0,5	16,5
23,028	19,3	237,1	1,7	16,8
23,031	18,7	235,7	1,1	17,2
23,035	19,7	231,8	1,1	17,5
23,038	19,5	233,6	0,6	17,7
23,042	19,1	240,2	0,9	17,8
23,045	19,8	230,7	1,4	17,2
23,049	20,2	230,7	0,6	16,9
23,052	19,3	238,3	1,0	16,8
23,056	18,9	243,2	0,6	17,1
23,059	19,0	231,4	1,2	16,9
23,063	18,4	235,6	1,0	17,0
23,066	17,7	240,8	1,3	17,3
23,069	16,7	247,1	1,2	17,8
23,073	16,4	251,0	1,1	18,8
23,076	16,6	245,3	1,5	19,2
23,080	16,4	247,0	0,8	18,9
23,083	16,4	245,1	1,2	18,8
23,087	16,7	246,1	1,1	19,1
23,090	16,7	247,0	1,8	19,1
23,094	15,5	255,8	1,0	19,0
23,097	15,0	267,4	1,0	19,2
23,101	13,8	277,1	1,5	20,3
23,104	14,2	278,5	1,7	21,5
23,108	13,7	277,7	1,1	21,4
23,111	12,5	278,1	1,1	22,1
23,115	12,9	278,9	1,8	22,9
23,118	12,2	278,1	1,3	23,1
23,122	12,2	280,2	1,9	23,5
23,125	11,7	283,6	1,8	23,8
23,128	12,2	9999	1,6	24,3
23,132	13,0	9999	1,7	24,2
23,135	13,1	9999	1,6	23,4
23,139	14,5	9999	1,2	21,9
23,142	14,6	238,7	1,7	21,2
23,146	14,3	242,8	1,7	21,0
23,149	15,5	240,0	0,8	20,2
23,153	14,0	239,1	1,4	19,7
23,156	12,1	246,1	0,9	21,1
23,160	12,9	244,9	2,0	21,9
23,163	11,7	244,9	1,5	22,1
23,167	11,7	252,9	1,8	23,3
23,170	9,9	251,2	1,3	23,7
23,174	8,5	260,2	1,5	25,5
23,177	9,2	251,7	1,7	26,3
23,181	9,7	248,0	2,3	26,9
23,184	11,0	240,4	2,4	26,3
23,188	11,7	248,0	2,9	25,7
23,191	11,6	260,7	2,4	24,6
23,194	13,2	251,8	2,5	23,9
23,198	14,0	233,0	2,0	20,9
23,201	11,7	237,1	1,7	21,1
23,205	9,4	238,8	1,9	22,4
23,208	8,0	242,2	2,2	24,5
23,212	10,1	236,5	2,7	25,5
23,215	9,9	233,8	2,9	25,7
23,219	9,9	235,9	2,6	25,5
23,222	8,6	244,7	2,8	26,3
23,226	8,3	245,7	2,3	26,4
23,229	7,1	258,0	2,4	26,6
23,233	6,0	268,2	2,6	27,8
23,236	5,1	288,9	3,5	29,6
23,240	4,7	279,3	3,9	30,7
23,243	4,2	278,5	4,8	31,9
23,247	3,6	290,0	5,5	33,6
23,250	3,8	292,0	4,7	33,2
23,253	3,8	287,5	3,9	32,3
23,257	3,6	282,6	3,6	32,2
23,260	4,4	271,9	4,5	32,3
23,264	3,7	274,6	4,0	32,2
23,267	3,5	281,6	4,2	32,6
23,271	3,1	286,7	4,8	33,3
23,274	3,4	276,7	4,9	33,1
23,278	3,9	271,3	4,0	32,2
23,281	3,5	275,2	3,9	31,1
23,285	3,4	278,1	4,2	32,0
23,288	3,3	277,1	5,4	32,6
23,292	2,9	289,5	4,4	32,6
23,295	3,0	287,2	5,1	33,3
23,299	2,7	9999	4,9	33,2
23,302	2,3	9999	5,3	34,5
23,306	1,9	9999	7,3	37,2
23,309	1,9	288,3	10,5	40,5
23,313	2,2	291,4	11,8	42,7
23,316	3,0	274,2	11,0	40,5
23,319	3,7	261,7	9,5	38,0
23,323	4,6	252,7	8,0	35,4
23,326	4,0	261,5	7,2	33,5
23,330	4,3	265,8	7,4	34,2
23,333	5,0	265,0	7,5	33,4
23,337	5,5	263,3	7,3	32,0
23,340	6,3	264,0	6,4	29,7
23,344	5,0	275,7	6,2	29,7
23,347	4,1	272,3	6,9	30,5
23,351	4,3	275,2	8,1	32,6
23,354	5,2	266,6	7,8	32,0
23,358	4,8	265,6	8,7	31,8
23,361	4,3	273,4	9,5	33,0
23,365	4,1	283,6	10,9	35,1
23,368	3,7	285,5	11,6	35,6
23,372	4,2	297,1	12,9	36,7
23,375	4,4	299,0	12,6	37,6
23,378	3,6	308,0	13,9	38,2
23,382	3,6	309,8	14,1	38,8
23,385	3,6	304,5	14,4	38,7
23,389	3,7	303,3	15,0	38,7
23,392	3,6	316,6	15,2	39,7
23,396	4,3	311,5	15,4	39,2
23,399	4,6	314,5	15,6	39,4
23,403	5,1	304,3	15,9	38,2
23,406	5,6	301,5	15,7	38,2
23,410	5,5	312,3	15,8	37,7
23,413	5,5	312,3	15,9	38,5
23,417	4,8	314,5	16,6	38,4
23,420	5,0	329,5	17,1	39,7
23,424	5,1	333,6	18,3	41,4
23,427	4,4	332,2	18,7	42,0
23,431	4,9	341,0	19,4	42,7
23,434	5,1	341,6	20,9	44,8
23,438	5,8	322,1	21,9	44,8
23,441	5,9	323,7	20,5	44,1
23,444	5,9	328,5	20,7	44,8
23,448	6,3	323,1	19,6	43,4
23,451	6,0	348,3	19,8	43,1
23,455	6,5	344,2	19,1	42,4
23,458	6,2	362,5	18,9	41,3
23,462	5,7	9999	18,9	43,2
23,465	5,9	9999	20,4	44,8
23,469	5,7	9999	21,9	46,4
23,472	7,0	9999	21,3	45,1
23,476	7,0	327,0	18,2	40,7
23,479	6,7	345,5	18,8	41,5
23,483	6,2	376,2	19,1	42,9
23,486	5,9	398,2	22,1	44,6
23,490	5,1	400,8	23,1	47,2
23,493	4,9	413,6	24,9	50,6
23,497	4,8	430,1	29,9	55,8
23,500	4,8	433,8	30,0	56,6
23,503	4,9	425,4	31,3	58,2
23,507	5,0	419,3	30,4	57,7
23,510	4,7	423,4	29,1	57,3
23,514	5,3	423,2	28,5	56,0
23,517	5,7	428,9	28,0	55,4
23,521	5,1	434,4	28,5	55,9
23,524	5,3	428,7	28,2	56,9
23,528	5,2	413,9	28,4	56,2
23,531	5,4	405,8	27,6	55,2
23,535	5,1	402,4	26,8	54,5
23,538	5,4	418,7	28,0	55,6
23,542	5,4	421,3	27,1	55,8
23,545	6,0	415,6	27,0	55,0
23,549	6,2	400,0	25,1	52,5
